,zipcode,city,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,lotAreaUnit,detailUrl
47,91790,West Covina,34.07274,-117.92118,675000.0,1.0,2.0,1008.0,SINGLE_FAMILY,7459.0,sqft,https://www.zillow.com/homedetails/1222-E-Mardina-St-West-Covina-CA-91790/21559021_zpid/
48,91792,West Covina,34.031174,-117.90703,1399950.0,7.0,9.0,4050.0,MULTI_FAMILY,10597.0,sqft,https://www.zillow.com/homedetails/1729-E-Nanette-Ave-West-Covina-CA-91792/21688313_zpid/
49,91791,West Covina,34.056656,-117.91333,1150000.0,3.0,3.0,2146.0,SINGLE_FAMILY,0.4233241505968779,acres,https://www.zillow.com/homedetails/1529-E-Portner-St-West-Covina-CA-91791/21574313_zpid/
50,91790,West Covina,34.074947,-117.9268,880000.0,3.0,4.0,2125.0,SINGLE_FAMILY,,,https://www.zillow.com/community/valencia-at-vincent-place/2057642500_zpid/
51,91791,West Covina,34.080734,-117.90982,844990.0,3.0,3.0,1483.0,SINGLE_FAMILY,2200.0,sqft,https://www.zillow.com/homedetails/1661-Rosewell-Rd-West-Covina-CA-91791/2056999213_zpid/
52,91791,West Covina,34.068947,-117.9081,926000.0,2.0,4.0,1933.0,SINGLE_FAMILY,7076.0,sqft,https://www.zillow.com/homedetails/235-S-Azusa-Ave-West-Covina-CA-91791/21568497_zpid/
53,91790,West Covina,34.069183,-117.943245,613000.0,3.0,2.0,1216.0,SINGLE_FAMILY,,,https://www.zillow.com/community/west-cameron/2057077775_zpid/
54,91791,West Covina,34.049557,-117.89369,2998000.0,6.0,6.0,5479.0,SINGLE_FAMILY,0.4610422405876951,acres,https://www.zillow.com/homedetails/2821-Countrywood-Ln-West-Covina-CA-91791/21576228_zpid/
55,91790,West Covina,34.074947,-117.9268,858000.0,3.0,4.0,1955.0,SINGLE_FAMILY,,,https://www.zillow.com/community/valencia-at-vincent-place/2057635474_zpid/
56,91790,West Covina,34.069183,-117.943245,714000.0,3.0,3.0,1791.0,SINGLE_FAMILY,,,https://www.zillow.com/community/west-cameron/2057077773_zpid/
57,91791,West Covina,34.05075,-117.91296,1198000.0,3.0,2.0,1640.0,SINGLE_FAMILY,0.675068870523416,acres,https://www.zillow.com/homedetails/17213-E-Francisquito-Ave-West-Covina-CA-91791/21574474_zpid/
58,91791,West Covina,34.0804,-117.91,679990.0,3.0,2.0,1318.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513244_zpid/
59,91791,West Covina,34.0804,-117.91,844990.0,3.0,3.0,1483.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513234_zpid/
60,91790,West Covina,34.074947,-117.9268,654000.0,3.0,3.0,1497.0,TOWNHOUSE,,,https://www.zillow.com/community/seville-at-vincent-place/2057642512_zpid/
61,91791,West Covina,34.0804,-117.91,909990.0,3.0,3.0,1637.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513231_zpid/
62,91791,West Covina,34.0804,-117.91,994990.0,3.0,4.0,1826.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513233_zpid/
63,91791,West Covina,34.0804,-117.91,844990.0,3.0,3.0,1483.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513235_zpid/
64,91791,West Covina,34.0804,-117.91,994990.0,3.0,4.0,1826.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513236_zpid/
65,91791,West Covina,34.0804,-117.91,909990.0,3.0,3.0,1637.0,SINGLE_FAMILY,,,https://www.zillow.com/community/asteria-topaz/2060513232_zpid/
66,91791,West Covina,34.0804,-117.91,679990.0,3.0,2.0,1318.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513253_zpid/
67,91791,West Covina,34.0804,-117.91,764990.0,3.0,2.0,1585.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513246_zpid/
68,91791,West Covina,34.0804,-117.91,679990.0,3.0,2.0,1318.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513248_zpid/
69,91790,West Covina,34.07294,-117.93149,850000.0,3.0,4.0,1782.0,SINGLE_FAMILY,7467.0,sqft,https://www.zillow.com/homedetails/117-N-Ellen-Dr-West-Covina-CA-91790/21559461_zpid/
70,91791,West Covina,34.0804,-117.91,799990.0,4.0,3.0,1697.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513255_zpid/
71,91791,West Covina,34.0804,-117.91,679990.0,3.0,2.0,1318.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513247_zpid/
72,91790,West Covina,34.074947,-117.9268,613000.0,3.0,2.0,1216.0,TOWNHOUSE,,,https://www.zillow.com/community/seville-at-vincent-place/2057642501_zpid/
73,91791,West Covina,34.0804,-117.91,679990.0,3.0,2.0,1318.0,TOWNHOUSE,,,https://www.zillow.com/community/asteria-jade/2060513250_zpid/
74,91790,West Covina,34.074947,-117.9268,714000.0,3.0,3.0,1791.0,TOWNHOUSE,,,https://www.zillow.com/community/seville-at-vincent-place/2057642506_zpid/
75,91792,West Covina,,,450000.0,,,,LOT,0.3314279155188246,acres,https://www.zillow.com/homedetails/0-S-Lark-Ellen-Ave-West-Covina-CA-91792/2070950438_zpid/
76,91791,West Covina,,,450000.0,,,,LOT,0.9229338842975207,acres,https://www.zillow.com/homedetails/0-Via-Caballos-West-Covina-CA-91791/2078543068_zpid/
77,91790,West Covina,,,1300000.0,,,,LOT,8570.0,sqft,https://www.zillow.com/homedetails/230-S-Glendora-Ave-West-Covina-CA-91790/2103690925_zpid/
78,91722,Covina,34.09839,-117.90764,137000.0,2.0,2.0,,MANUFACTURED,,,https://www.zillow.com/homedetails/1045-N-Azusa-Ave-Covina-CA-91722/136522189_zpid/
79,91723,Covina,34.07614,-117.88808,624000.0,1.0,2.0,832.0,SINGLE_FAMILY,6355.0,sqft,https://www.zillow.com/homedetails/726-S-Palmetto-Ave-Covina-CA-91723/21556811_zpid/
80,91724,Covina,34.085327,-117.86209,875000.0,3.0,4.0,1852.0,SINGLE_FAMILY,10778.0,sqft,https://www.zillow.com/homedetails/139-S-Wilbur-Ave-Covina-CA-91724/21545140_zpid/
81,91722,Covina,34.104397,-117.893326,688000.0,2.0,4.0,1175.0,SINGLE_FAMILY,6748.0,sqft,https://www.zillow.com/homedetails/237-W-Devanah-St-Covina-CA-91722/21538948_zpid/
82,91722,Covina,34.104744,-117.888885,139999.0,2.0,3.0,,MANUFACTURED,,,https://www.zillow.com/homedetails/1380-N-Citrus-Ave-TRAILER-D9-Covina-CA-91722/136705735_zpid/
