,zip,city,price,baths,beds,home_sqft,type,url,year_built,lot_sqft
41,91791,West Covina,789990.0,3.0,2.0,1585.0,TOWNHOUSE,https://www.zillow.com/homedetails/513-Tamarind-Way-A-West-Covina-CA-91791/2056377131_zpid/,2023.0,1585.0
42,91790,West Covina,860000.0,2.0,4.0,2548.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1334-S-Glendora-Ave-West-Covina-CA-91790/21573740_zpid/,1955.0,7866.0
43,91790,West Covina,999000.0,2.0,3.0,1414.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1257-E-Mobeck-St-West-Covina-CA-91790/21571903_zpid/,1951.0,8143.0
44,91792,West Covina,749800.0,3.0,3.0,2034.0,CONDO,https://www.zillow.com/homedetails/1206-Tina-Ln-West-Covina-CA-91792/21690266_zpid/,1982.0,2034.0
45,91790,West Covina,675000.0,1.0,2.0,1008.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1222-E-Mardina-St-West-Covina-CA-91790/21559021_zpid/,1953.0,7459.0
46,91792,West Covina,1399950.0,7.0,9.0,4050.0,MULTI_FAMILY,https://www.zillow.com/homedetails/1729-E-Nanette-Ave-West-Covina-CA-91792/21688313_zpid/,1977.0,10597.0
47,91791,West Covina,1150000.0,3.0,3.0,2146.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1529-E-Portner-St-West-Covina-CA-91791/21574313_zpid/,1953.0,18440.0
48,91791,West Covina,844990.0,3.0,3.0,1483.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1661-Rosewell-Rd-West-Covina-CA-91791/2056999213_zpid/,2023.0,2200.0
49,91791,West Covina,926000.0,2.0,4.0,1933.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/235-S-Azusa-Ave-West-Covina-CA-91791/21568497_zpid/,1953.0,7076.0
50,91791,West Covina,2998000.0,6.0,6.0,5479.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2821-Countrywood-Ln-West-Covina-CA-91791/21576228_zpid/,1993.0,20083.0
51,91791,West Covina,1198000.0,3.0,2.0,1640.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/17213-E-Francisquito-Ave-West-Covina-CA-91791/21574474_zpid/,1955.0,29406.000000000004
52,91791,West Covina,679990.0,3.0,2.0,1318.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513244_zpid/,2023.0,1318.0
53,91790,West Covina,654000.0,3.0,3.0,1497.0,TOWNHOUSE,https://www.zillow.com/community/seville-at-vincent-place/2057642512_zpid/,2023.0,1497.0
54,91791,West Covina,679990.0,3.0,2.0,1318.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513253_zpid/,2023.0,1318.0
55,91791,West Covina,764990.0,3.0,2.0,1585.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513246_zpid/,2023.0,1585.0
